,token,nature,head,nr_of_dependents,constituent_of_head,constituency_paths
617,European,MOD,countries,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'JJ']"
618,countries,OTH,in,3,"['other', 'European', 'countries', 'in', 'the', 'coming', 'days']","['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NNS']"
619,in,PREP,countries,1,"['in', 'the', 'coming', 'days']","['S', 'VP', 'VP', 'VP', 'PP', 'IN']"
620,the,OTH,days,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'DT']"
621,coming,MOD,days,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'VBG']"
622,days,OTH,in,2,"['the', 'coming', 'days']","['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NNS']"
623,.,OTH,announced,0,NOT_HEAD,"['S', '.']"
625,For,PREP,expects,1,"['For', 'example']","['S', 'PP', 'IN']"
626,example,OTH,For,0,NOT_HEAD,"['S', 'PP', 'NP', 'NN']"
627,",",OTH,expects,0,NOT_HEAD,"['S', ',']"
628,the,OTH,minister,0,NOT_HEAD,"['S', 'NP', 'NP', 'DT']"
629,Belgian,MOD,minister,0,NOT_HEAD,"['S', 'NP', 'NP', 'JJ']"
630,minister,OTH,expects,6,"['the', 'Belgian', 'minister', 'handling', 'coronavirus', 'issues', ',', 'Frank', 'Vandenbroucke', ',']","['S', 'NP', 'NP', 'NN']"
631,handling,MOD,minister,1,"['handling', 'coronavirus', 'issues']","['S', 'NP', 'VP', 'VBG']"
632,coronavirus,MOD,issues,0,NOT_HEAD,"['S', 'NP', 'VP', 'NP', 'NP', 'NN']"
633,issues,OTH,handling,1,"['coronavirus', 'issues']","['S', 'NP', 'VP', 'NP', 'NP', 'NNS']"
634,",",OTH,minister,0,NOT_HEAD,"['S', 'NP', 'VP', 'NP', ',']"
635,Frank,MOD,Vandenbroucke,0,NOT_HEAD,"['S', 'NP', 'VP', 'NP', 'NP', 'NNP']"
636,Vandenbroucke,MOD,minister,1,"['Frank', 'Vandenbroucke']","['S', 'NP', 'VP', 'NP', 'NP', 'NNP']"
637,",",OTH,minister,0,NOT_HEAD,"['S', 'NP', 'VP', 'NP', ',']"
638,expects,VERB,expects,5,"['For', 'example', ',', 'the', 'Belgian', 'minister', 'handling', 'coronavirus', 'issues', ',', 'Frank', 'Vandenbroucke', ',', 'expects', 'that', 'almost', 'all', 'coronavirus', 'measures', 'will', 'be', 'withdrawn', 'in', 'Belgium', 'next', 'Friday', '.']","['S', 'VP', 'VBZ']"
639,that,OTH,withdrawn,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'IN']"
640,almost,TUN,all,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'NP', 'QP', 'RB']"
641,all,MOD,measures,1,"['almost', 'all']","['S', 'VP', 'SBAR', 'S', 'NP', 'QP', 'DT']"
642,coronavirus,MOD,measures,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'NP', 'NN']"
643,measures,OTH,withdrawn,2,"['almost', 'all', 'coronavirus', 'measures']","['S', 'VP', 'SBAR', 'S', 'NP', 'NNS']"
644,will,OTH,withdrawn,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'VP', 'MD']"
645,be,OTH,withdrawn,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VB']"
646,withdrawn,VERB,expects,6,"['that', 'almost', 'all', 'coronavirus', 'measures', 'will', 'be', 'withdrawn', 'in', 'Belgium', 'next', 'Friday']","['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VP', 'VBN']"
647,in,PREP,withdrawn,1,"['in', 'Belgium']","['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VP', 'PP', 'IN']"
648,Belgium,OTH,in,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NNP']"
649,next,MOD,Friday,0,NOT_HEAD,"['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VP', 'NP', 'JJ']"
650,Friday,OTH,withdrawn,1,"['next', 'Friday']","['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VP', 'NP', 'NNP']"
651,.,OTH,expects,0,NOT_HEAD,"['S', '.']"
