,token,dependency,head,dependent,constituent,paths
612,also,advmod,announced,[],['also'],"['S', 'VP', 'ADVP', 'RB']"
613,be,auxpass,announced,[],['be'],"['S', 'VP', 'VP', 'VB']"
614,announced,ROOT,announced,"['\n', 'elimination', 'will', 'also', 'be', 'in', '.']","['\n', 'Far', '-', 'reaching', 'elimination', 'of', 'restrictions', 'will', 'also', 'be', 'announced', 'in', 'other', 'European', 'countries', 'in', 'the', 'coming', 'days', '.']","['S', 'VP', 'VP', 'VP', 'VBN']"
615,in,prep,announced,['countries'],"['in', 'other', 'European', 'countries', 'in', 'the', 'coming', 'days']","['S', 'VP', 'VP', 'VP', 'PP', 'IN']"
616,other,amod,countries,[],['other'],"['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'JJ']"
617,European,amod,countries,[],['European'],"['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'JJ']"
618,countries,pobj,in,"['other', 'European', 'in']","['other', 'European', 'countries', 'in', 'the', 'coming', 'days']","['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NNS']"
619,in,prep,countries,['days'],"['in', 'the', 'coming', 'days']","['S', 'VP', 'VP', 'VP', 'PP', 'IN']"
620,the,det,days,[],['the'],"['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'DT']"
621,coming,amod,days,[],['coming'],"['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'VBG']"
622,days,pobj,in,"['the', 'coming']","['the', 'coming', 'days']","['S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NNS']"
623,.,punct,announced,[],['.'],"['S', '.']"
625,For,prep,expects,['example'],"['For', 'example']","['S', 'PP', 'IN']"
626,example,pobj,For,[],['example'],"['S', 'PP', 'NP', 'NN']"
627,",",punct,expects,[],"[',']","['S', ',']"
628,the,det,minister,[],['the'],"['S', 'NP', 'NP', 'DT']"
629,Belgian,amod,minister,[],['Belgian'],"['S', 'NP', 'NP', 'JJ']"
630,minister,nsubj,expects,"['the', 'Belgian', 'handling', ',', 'Vandenbroucke', ',']","['the', 'Belgian', 'minister', 'handling', 'coronavirus', 'issues', ',', 'Frank', 'Vandenbroucke', ',']","['S', 'NP', 'NP', 'NN']"
631,handling,acl,minister,['issues'],"['handling', 'coronavirus', 'issues']","['S', 'NP', 'VP', 'VBG']"
632,coronavirus,compound,issues,[],['coronavirus'],"['S', 'NP', 'VP', 'NP', 'NP', 'NN']"
633,issues,dobj,handling,['coronavirus'],"['coronavirus', 'issues']","['S', 'NP', 'VP', 'NP', 'NP', 'NNS']"
634,",",punct,minister,[],"[',']","['S', 'NP', 'VP', 'NP', ',']"
635,Frank,compound,Vandenbroucke,[],['Frank'],"['S', 'NP', 'VP', 'NP', 'NP', 'NNP']"
636,Vandenbroucke,appos,minister,['Frank'],"['Frank', 'Vandenbroucke']","['S', 'NP', 'VP', 'NP', 'NP', 'NNP']"
637,",",punct,minister,[],"[',']","['S', 'NP', 'VP', 'NP', ',']"
638,expects,ROOT,expects,"['\n', 'For', ',', 'minister', 'withdrawn', '.']","['\n', 'For', 'example', ',', 'the', 'Belgian', 'minister', 'handling', 'coronavirus', 'issues', ',', 'Frank', 'Vandenbroucke', ',', 'expects', 'that', 'almost', 'all', 'coronavirus', 'measures', 'will', 'be', 'withdrawn', 'in', 'Belgium', 'next', 'Friday', '.']","['S', 'VP', 'VBZ']"
639,that,mark,withdrawn,[],['that'],"['S', 'VP', 'SBAR', 'IN']"
640,almost,advmod,all,[],['almost'],"['S', 'VP', 'SBAR', 'S', 'NP', 'QP', 'RB']"
641,all,nummod,measures,['almost'],"['almost', 'all']","['S', 'VP', 'SBAR', 'S', 'NP', 'QP', 'DT']"
642,coronavirus,compound,measures,[],['coronavirus'],"['S', 'VP', 'SBAR', 'S', 'NP', 'NN']"
643,measures,nsubjpass,withdrawn,"['all', 'coronavirus']","['almost', 'all', 'coronavirus', 'measures']","['S', 'VP', 'SBAR', 'S', 'NP', 'NNS']"
644,will,aux,withdrawn,[],['will'],"['S', 'VP', 'SBAR', 'S', 'VP', 'MD']"
645,be,auxpass,withdrawn,[],['be'],"['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VB']"
646,withdrawn,ccomp,expects,"['that', 'measures', 'will', 'be', 'in', 'Friday']","['that', 'almost', 'all', 'coronavirus', 'measures', 'will', 'be', 'withdrawn', 'in', 'Belgium', 'next', 'Friday']","['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VP', 'VBN']"
647,in,prep,withdrawn,['Belgium'],"['in', 'Belgium']","['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VP', 'PP', 'IN']"
648,Belgium,pobj,in,[],['Belgium'],"['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NNP']"
649,next,amod,Friday,[],['next'],"['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VP', 'NP', 'JJ']"
650,Friday,npadvmod,withdrawn,['next'],"['next', 'Friday']","['S', 'VP', 'SBAR', 'S', 'VP', 'VP', 'VP', 'NP', 'NNP']"
651,.,punct,expects,[],['.'],"['S', '.']"
